epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,79.3297,1.1771,0.99759,1.02561,0.9445,0.97917,0.96607,0.531,1.58571,0.74286,1.25401,0.000848969,0.000848969,0.000848969
43,81.1239,1.18379,1.03604,1.05492,0.93063,0.97917,0.96202,0.5092,1.61979,0.76672,1.28308,0.000834822,0.000834822,0.000834822
44,82.9153,1.29715,1.10319,1.11753,0.95365,0.99716,0.98214,0.56621,1.50291,0.75286,1.22689,0.000820675,0.000820675,0.000820675
45,84.7114,1.1958,1.01554,1.02901,0.93321,0.94316,0.94826,0.5684,1.53978,0.81347,1.29002,0.000806528,0.000806528,0.000806528
46,86.5184,1.15341,0.99904,1.04657,0.93981,0.91766,0.95797,0.5811,1.49088,0.80462,1.24045,0.00079238,0.00079238,0.00079238
47,88.3471,1.13102,0.91815,1.00113,0.93918,0.91455,0.94126,0.55977,1.56693,0.7898,1.26235,0.000778233,0.000778233,0.000778233
48,90.167,1.15509,1.0226,1.03329,0.94634,0.96115,0.97217,0.58679,1.52563,0.75002,1.23638,0.000764086,0.000764086,0.000764086
49,91.9818,1.13616,0.90011,1.00905,0.95627,0.96115,0.97989,0.5735,1.49576,0.71181,1.21852,0.000749939,0.000749939,0.000749939
50,93.7787,1.12701,0.96585,1.04189,0.96157,0.9637,0.98344,0.58477,1.51007,0.70657,1.21891,0.000735792,0.000735792,0.000735792
51,95.5905,1.08045,0.87906,1.00759,0.92622,0.96754,0.94967,0.54725,1.55056,0.72556,1.26214,0.000721645,0.000721645,0.000721645
52,97.452,1.11913,0.89533,1.01154,0.92327,0.96882,0.95003,0.56916,1.51951,0.7307,1.2315,0.000707498,0.000707498,0.000707498
53,99.2475,1.08211,1.30654,1.02885,0.95617,0.97336,0.96898,0.55736,1.50806,0.72102,1.2015,0.000693351,0.000693351,0.000693351
54,101.057,1.14059,0.93334,1.01875,0.95017,0.94687,0.96974,0.56716,1.48856,0.70944,1.20386,0.000679204,0.000679204,0.000679204
55,102.863,1.20272,0.88328,1.05177,0.94011,0.96246,0.97148,0.56639,1.48328,0.72744,1.18671,0.000665057,0.000665057,0.000665057
56,104.667,1.0902,0.90737,1.00252,0.94946,0.97558,0.96601,0.55343,1.53682,0.73509,1.19733,0.000650909,0.000650909,0.000650909
57,106.475,1.08445,0.85758,0.99841,0.96228,0.94738,0.96355,0.57233,1.50705,0.71599,1.21247,0.000636762,0.000636762,0.000636762
58,108.287,1.08029,0.85682,1.00178,0.969,0.98125,0.9806,0.57333,1.4731,0.70237,1.20479,0.000622615,0.000622615,0.000622615
59,110.085,1.10113,0.84288,1.00221,0.95132,0.96193,0.96473,0.56581,1.50087,0.69128,1.20137,0.000608468,0.000608468,0.000608468
60,111.904,1.12691,0.79836,0.99743,0.94545,0.97016,0.97069,0.59545,1.45892,0.66464,1.18488,0.000594321,0.000594321,0.000594321
61,113.722,1.12055,0.85559,1.02502,0.95994,1,0.99221,0.61275,1.44792,0.65095,1.1746,0.000580174,0.000580174,0.000580174
62,115.531,1.05256,0.80794,0.97867,0.96954,0.99612,0.98848,0.60009,1.48846,0.64913,1.16734,0.000566027,0.000566027,0.000566027
63,117.328,1.02834,0.81495,0.96893,0.9694,0.99244,0.98848,0.59413,1.47262,0.65933,1.18744,0.00055188,0.00055188,0.00055188
64,119.117,0.97677,0.83222,0.9565,0.96201,0.97415,0.96875,0.57033,1.50928,0.6797,1.22818,0.000537733,0.000537733,0.000537733
65,120.911,0.98446,0.77619,0.96904,0.94281,0.98625,0.9875,0.57596,1.49749,0.69671,1.19469,0.000523586,0.000523586,0.000523586
66,122.713,1.01101,0.79242,0.99855,0.95899,0.98743,0.98799,0.59974,1.48986,0.68255,1.17671,0.000509438,0.000509438,0.000509438
67,124.522,1.04398,0.79105,0.98585,0.95948,0.9708,0.97209,0.58062,1.50942,0.66801,1.21167,0.000495291,0.000495291,0.000495291
68,126.321,1.01105,0.80049,0.98417,0.96136,0.97917,0.97169,0.58606,1.51649,0.65942,1.2222,0.000481144,0.000481144,0.000481144
69,128.128,1.01474,0.74795,0.98073,0.94453,0.96974,0.95845,0.58293,1.50682,0.65102,1.18897,0.000466997,0.000466997,0.000466997
70,129.929,1.02103,0.75589,0.98534,0.94392,0.95541,0.9595,0.57398,1.49784,0.65321,1.18079,0.00045285,0.00045285,0.00045285
