epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.3719,1.3091,0.94131,0.99008,0.95443,0.98964,0.99158,0.57269,1.56277,0.73193,1.08782,0.000655625,0.000655625,0.000655625
43,43.3519,1.21351,0.91273,0.984,0.94818,0.98436,0.97869,0.5577,1.62961,0.75038,1.10626,0.000636762,0.000636762,0.000636762
44,44.3313,1.381,0.96705,1.03454,0.96001,0.96032,0.96519,0.53916,1.59328,0.74153,1.09044,0.0006179,0.0006179,0.0006179
45,45.3132,1.19695,0.93443,0.9486,0.97339,0.98769,0.9847,0.5512,1.52115,0.7244,1.08946,0.000599037,0.000599037,0.000599037
46,46.2991,1.21573,0.92224,0.97988,0.94611,0.99099,0.98864,0.55974,1.5083,0.72092,1.08276,0.000580174,0.000580174,0.000580174
47,47.2878,1.19683,0.86118,0.95809,0.95952,0.96007,0.97699,0.55224,1.54682,0.72925,1.08896,0.000561311,0.000561311,0.000561311
48,48.2688,1.26562,0.98578,0.97344,0.91364,0.95965,0.94879,0.53326,1.57742,0.7287,1.09528,0.000542448,0.000542448,0.000542448
49,49.2549,1.22358,0.8522,0.963,0.96283,0.97016,0.9901,0.5451,1.58317,0.7011,1.08785,0.000523586,0.000523586,0.000523586
50,50.2448,1.16763,0.8979,0.96664,0.97524,0.97937,0.99365,0.57278,1.56014,0.71846,1.08407,0.000504723,0.000504723,0.000504723
51,51.2326,1.1502,0.82328,0.94835,0.96068,0.988,0.97863,0.57754,1.52497,0.71553,1.06885,0.00048586,0.00048586,0.00048586
52,52.2179,1.1428,0.83428,0.94055,0.96353,0.99849,0.98639,0.58125,1.48982,0.70299,1.05807,0.000466997,0.000466997,0.000466997
53,53.2015,1.15779,1.07652,0.95106,0.96427,0.99927,0.99103,0.57146,1.49563,0.69172,1.06531,0.000448134,0.000448134,0.000448134
54,54.1959,1.1415,0.85217,0.95443,0.95274,0.98355,0.97107,0.57567,1.50975,0.67243,1.07085,0.000429272,0.000429272,0.000429272
55,55.1822,1.20343,0.83529,0.9747,0.94422,0.98253,0.9684,0.56021,1.51848,0.66907,1.07612,0.000410409,0.000410409,0.000410409
56,56.1711,1.16681,0.84539,0.95919,0.97565,0.96444,0.98668,0.57645,1.50647,0.65004,1.07738,0.000391546,0.000391546,0.000391546
57,57.1538,1.15436,0.8399,0.94372,0.96353,0.95275,0.97274,0.57362,1.52702,0.66973,1.07318,0.000372683,0.000372683,0.000372683
58,58.1477,1.11198,0.78655,0.92978,0.95984,0.95715,0.97528,0.57995,1.54132,0.66741,1.074,0.00035382,0.00035382,0.00035382
59,59.1443,1.18769,0.81682,0.95459,0.95302,0.98701,0.97896,0.59328,1.50776,0.66558,1.06737,0.000334958,0.000334958,0.000334958
60,60.1391,1.10966,0.76695,0.92599,0.96077,0.99849,0.99382,0.58352,1.5347,0.6634,1.08268,0.000316095,0.000316095,0.000316095
61,61.1369,1.14004,0.79543,0.95699,0.96377,0.954,0.97821,0.57738,1.56837,0.66763,1.09202,0.000297232,0.000297232,0.000297232
62,62.1142,1.12742,0.7798,0.93968,0.96283,0.95306,0.97822,0.56492,1.59857,0.68023,1.09782,0.000278369,0.000278369,0.000278369
63,63.0963,1.09173,0.78484,0.9217,0.9648,0.99676,0.99382,0.56856,1.57062,0.67028,1.09135,0.000259506,0.000259506,0.000259506
64,64.071,1.09061,0.8163,0.91407,0.96892,0.99341,0.99382,0.55964,1.55579,0.66448,1.09494,0.000240644,0.000240644,0.000240644
65,65.0481,1.06949,0.74954,0.93342,0.96662,0.99569,0.99382,0.56799,1.5809,0.66022,1.10082,0.000221781,0.000221781,0.000221781
66,86.3154,1.09332,0.9264,0.91874,0.96908,0.96964,0.99184,0.56951,1.57761,0.66682,1.09722,0.000202918,0.000202918,0.000202918
67,87.3391,1.08412,0.91418,0.91696,0.97002,0.96238,0.99184,0.58254,1.55477,0.67764,1.08808,0.000184055,0.000184055,0.000184055
68,88.3477,1.17567,0.93017,0.94104,0.94181,0.99277,0.99278,0.57075,1.53986,0.68225,1.08211,0.000165192,0.000165192,0.000165192
69,89.3391,1.02948,0.8699,0.92606,0.94438,0.99872,0.99153,0.56304,1.53676,0.68448,1.08112,0.00014633,0.00014633,0.00014633
70,90.3717,1.03622,0.80961,0.91617,0.94392,0.99943,0.99153,0.56116,1.53523,0.67953,1.08029,0.000127467,0.000127467,0.000127467
71,91.3962,0.96516,0.80264,0.90908,0.93992,1,0.99153,0.56497,1.53494,0.66516,1.08066,0.000108604,0.000108604,0.000108604
72,92.3968,1.04068,0.80437,0.91966,0.96566,0.97185,0.99153,0.57027,1.5226,0.66836,1.07928,8.97412e-05,8.97412e-05,8.97412e-05
73,93.4048,1.0174,0.8093,0.94081,0.9668,0.97244,0.99153,0.56747,1.52189,0.66108,1.07996,7.08784e-05,7.08784e-05,7.08784e-05
74,94.3995,0.98964,0.81003,0.9368,0.96639,0.99535,0.99265,0.56995,1.52896,0.66475,1.08249,5.20156e-05,5.20156e-05,5.20156e-05
75,95.3787,0.98332,0.7629,0.92057,0.96605,0.99755,0.99265,0.57085,1.53023,0.6639,1.08264,3.31528e-05,3.31528e-05,3.31528e-05
